1,蚂蚁金服,750,互联网金融,2014,杭州,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,小米,460,智能硬件,2010,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,阿里云,390,云服务,2009,杭州,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,滴滴快的,338,交通出行,2012,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,陆金所,185,互联网金融,2011,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,美团点评,180,电子商务,2010,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,大疆创新,100,智能硬件,2006,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,今日头条,92,新媒体,2012,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,口碑,80,电子商务,2015,杭州,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,菜鸟网络,76.9,物流,2013,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,借贷宝,76.9,互联网金融,2014,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,众安保险,76.3,互联网金融,2013,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,京东金融,71.8,互联网金融,2013,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,乐视移动,55,智能硬件,2014,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,微众银行,55,互联网金融,2015,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,威马汽车,50,交通出行,2011,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,奇思科技,38,软件应用,2011,天津,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,神州专车,35.5,交通出行,2015,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Here地图,33,交通出行,2007,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,腾讯云,33,云服务,2010,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,乐视体育,33,文化娱乐,2012,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,易商,32,物流,2011,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,复宏汉霖,31.8,大健康,2010,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,大地影院,31,文化娱乐,2007,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,苏宁金融,30,互联网金融,2006,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,一下科技,30,文化娱乐,2011,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,宁德时代,30,交通出行,2011,宁德,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,柔宇科技,30,智能硬件,2012,深圳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,平安好医生,30,大健康,2014,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,奇点汽车,30,交通出行,2014,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,阿里音乐,30,文化娱乐,2015,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,易鑫金融,30,互联网金融,2015,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,万达影视投资,29.2,文化娱乐,2015,青岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,爱奇艺,25,文化娱乐,2010,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,百度外卖,24,电子商务,2014,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,快手,22,文化娱乐,2011,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,淘票票,21.1,电子商务,2014,杭州,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,人人贷,20,互联网金融,2010,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40, Face++,20,人工智能,2011,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,惠民网,20,电子商务,2013,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,科信美德,20,大健康,2014,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,微票儿,20,电子商务,2014,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,万达电商,20,电子商务,2014,香港,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,芒果TV,20,文化娱乐,2014,长沙,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,摩拜单车,20,交通出行,2015,北京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,阅文集团,20,文化娱乐,2015,上海,,,,,,,,,,,,,,,,,,,,,,,,,,,,
